KEY,age,hh_head_yn,sex
uuid:ccbde850-b094-4681-8ca8-af721a354091,10.319235311321284,no,Female
uuid:ccbde850-b094-4681-8ca8-af721a354091,7.352027601565414,no,Female
uuid:ccbde850-b094-4681-8ca8-af721a354091,0.7682154799781449,no,Male
uuid:ccb24ec7-5c56-439d-9274-9545148df1e2,35.13699872945347,yes,Female
uuid:8e43858f-f583-42b0-985f-4c6c6185a397,41.580694237343586,yes,Male
uuid:e298e5c8-441f-490d-9ec7-3aec70ebb244,15.880673403445957,yes,Male
uuid:e298e5c8-441f-490d-9ec7-3aec70ebb244,17.48937273024962,no,Female
uuid:e298e5c8-441f-490d-9ec7-3aec70ebb244,0.8353246689984035,no,Female
uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,33.73054860608898,yes,Male
uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,29.556120678424893,no,Female
uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,4.287929294274308,no,Male
uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,8.816169092750647,no,Male
uuid:595e77ac-bf50-4eb0-9d8f-02c417854051,4.57543822394242,no,Female
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,47.248315759456325,yes,Male
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,39.62565722361466,no,Female
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,14.043645077158875,no,Female
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,11.617159504947992,no,Male
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,4.787462853502027,no,Female
uuid:0375f341-bce1-4ef0-84f9-19c92e4db29a,7.430052092960437e-5,no,Male
uuid:aff6815d-f69b-4592-a57d-ec4218520f59,27.436622302705583,yes,Male
uuid:43a144c4-12e6-4e37-851e-7dd4b42ef926,31.7826388864804,yes,Male
uuid:43a144c4-12e6-4e37-851e-7dd4b42ef926,35.855436677356714,no,Female
uuid:43a144c4-12e6-4e37-851e-7dd4b42ef926,4.599843728552097,no,Female
