item,year,price
Fuel (diesel) - Retail,2015,84.56
Fuel (diesel) - Retail,2015,84.3
Fuel (diesel) - Retail,2015,80.94
Fuel (diesel) - Retail,2015,78.51
Fuel (diesel) - Retail,2016,76.7
Fuel (diesel) - Retail,2016,67.88
Fuel (diesel) - Retail,2016,65.7
Fuel (diesel) - Retail,2016,67.21
Fuel (diesel) - Retail,2016,71.34
Fuel (diesel) - Retail,2016,74.69
Fuel (diesel) - Retail,2016,83.24
Fuel (diesel) - Retail,2016,84.51
Fuel (diesel) - Retail,2016,82.12
Fuel (diesel) - Retail,2016,82.17
Fuel (diesel) - Retail,2016,87.2
Fuel (diesel) - Retail,2017,84.23
Fuel (diesel) - Retail,2017,89.26
Fuel (diesel) - Retail,2017,90.44
Fuel (diesel) - Retail,2017,88.62
Fuel (diesel) - Retail,2017,88.05
Fuel (diesel) - Retail,2017,84.46
Fuel (diesel) - Retail,2017,85.86
Fuel (diesel) - Retail,2017,86.86
Fuel (diesel) - Retail,2017,82.12
Fuel (diesel) - Retail,2017,82.17
Fuel (diesel) - Retail,2017,87.22
Fuel (diesel) - Retail,2018,94.82
Fuel (diesel) - Retail,2018,96.96
Fuel (diesel) - Retail,2018,97.86
Fuel (diesel) - Retail,2018,97.86
Fuel (diesel) - Retail,2018,98.64
Fuel (diesel) - Retail,2018,103.6
Fuel (petrol-gasoline) - Retail,2014,115.86
Fuel (petrol-gasoline) - Retail,2014,116.62
Fuel (petrol-gasoline) - Retail,2015,89.93
Fuel (petrol-gasoline) - Retail,2015,92.89
Fuel (petrol-gasoline) - Retail,2015,98.59
Fuel (petrol-gasoline) - Retail,2015,98.59
Fuel (petrol-gasoline) - Retail,2015,103.5
Fuel (petrol-gasoline) - Retail,2015,103.49
Fuel (petrol-gasoline) - Retail,2015,90.06
Fuel (petrol-gasoline) - Retail,2016,88.64
Fuel (petrol-gasoline) - Retail,2016,86.5
Fuel (petrol-gasoline) - Retail,2016,85.58
Fuel (petrol-gasoline) - Retail,2016,81.61
Fuel (petrol-gasoline) - Retail,2016,85.14
Fuel (petrol-gasoline) - Retail,2016,87.07
Fuel (petrol-gasoline) - Retail,2016,92.93
Fuel (petrol-gasoline) - Retail,2016,95.13
Fuel (petrol-gasoline) - Retail,2016,91.56
Fuel (petrol-gasoline) - Retail,2016,94.94
Fuel (petrol-gasoline) - Retail,2016,94.2
Fuel (petrol-gasoline) - Retail,2017,96.01
Fuel (petrol-gasoline) - Retail,2017,100.27
Fuel (petrol-gasoline) - Retail,2017,101.05
Fuel (petrol-gasoline) - Retail,2017,98
Fuel (petrol-gasoline) - Retail,2017,99.59
Fuel (petrol-gasoline) - Retail,2017,97.1
Fuel (petrol-gasoline) - Retail,2017,96.08
Fuel (petrol-gasoline) - Retail,2017,98.3
Fuel (petrol-gasoline) - Retail,2017,91.56
Fuel (petrol-gasoline) - Retail,2017,94.94
Fuel (petrol-gasoline) - Retail,2017,94.2
Fuel (petrol-gasoline) - Retail,2018,106.3
Fuel (petrol-gasoline) - Retail,2018,107.92
Fuel (petrol-gasoline) - Retail,2018,107.46
Fuel (petrol-gasoline) - Retail,2018,106.83
Fuel (petrol-gasoline) - Retail,2018,107.17
Fuel (petrol-gasoline) - Retail,2018,108.81
"Milk (cow, pasteurized) - Retail",2006,22
"Milk (cow, pasteurized) - Retail",2006,25
"Milk (cow, pasteurized) - Retail",2006,25
"Milk (cow, pasteurized) - Retail",2006,25
"Milk (cow, pasteurized) - Retail",2006,25
"Milk (cow, pasteurized) - Retail",2006,22
"Milk (cow, pasteurized) - Retail",2006,22
"Milk (cow, pasteurized) - Retail",2006,20
"Milk (cow, pasteurized) - Retail",2006,20
"Milk (cow, pasteurized) - Retail",2006,20
"Milk (cow, pasteurized) - Retail",2006,20
"Milk (cow, pasteurized) - Retail",2006,24
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,20
"Milk (cow, pasteurized) - Retail",2007,22
"Milk (cow, pasteurized) - Retail",2007,22
"Milk (cow, pasteurized) - Retail",2007,23
"Milk (cow, pasteurized) - Retail",2007,23
"Milk (cow, pasteurized) - Retail",2007,23
"Milk (cow, pasteurized) - Retail",2008,20
"Milk (cow, pasteurized) - Retail",2008,25
"Milk (cow, pasteurized) - Retail",2008,25
"Milk (cow, pasteurized) - Retail",2008,25
"Milk (cow, pasteurized) - Retail",2008,26
"Milk (cow, pasteurized) - Retail",2008,26
"Milk (cow, pasteurized) - Retail",2008,25
"Milk (cow, pasteurized) - Retail",2008,24
"Milk (cow, pasteurized) - Retail",2008,24
"Milk (cow, pasteurized) - Retail",2008,25
"Milk (cow, pasteurized) - Retail",2008,27
"Milk (cow, pasteurized) - Retail",2008,27
"Milk (cow, pasteurized) - Retail",2009,27
"Milk (cow, pasteurized) - Retail",2009,27
"Milk (cow, pasteurized) - Retail",2009,27
"Milk (cow, pasteurized) - Retail",2009,27
"Milk (cow, pasteurized) - Retail",2009,30
"Milk (cow, pasteurized) - Retail",2009,30
"Milk (cow, pasteurized) - Retail",2009,30
"Milk (cow, pasteurized) - Retail",2009,30
"Milk (cow, pasteurized) - Retail",2009,30
"Milk (cow, pasteurized) - Retail",2009,28
"Milk (cow, pasteurized) - Retail",2009,28
"Milk (cow, pasteurized) - Retail",2009,28
"Milk (cow, pasteurized) - Retail",2010,26
"Milk (cow, pasteurized) - Retail",2010,26
"Milk (cow, pasteurized) - Retail",2010,24
"Milk (cow, pasteurized) - Retail",2010,23
"Milk (cow, pasteurized) - Retail",2010,25
"Milk (cow, pasteurized) - Retail",2010,25
"Milk (cow, pasteurized) - Retail",2010,27
"Milk (cow, pasteurized) - Retail",2010,25
"Milk (cow, pasteurized) - Retail",2010,30
"Milk (cow, pasteurized) - Retail",2010,34
"Milk (cow, pasteurized) - Retail",2010,34
"Milk (cow, pasteurized) - Retail",2010,34
"Milk (cow, pasteurized) - Retail",2011,34
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,32
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2011,30
"Milk (cow, pasteurized) - Retail",2012,35
"Milk (cow, pasteurized) - Retail",2012,39
"Milk (cow, pasteurized) - Retail",2012,45
"Milk (cow, pasteurized) - Retail",2012,48
"Milk (cow, pasteurized) - Retail",2012,43
"Milk (cow, pasteurized) - Retail",2012,40
"Milk (cow, pasteurized) - Retail",2012,38
"Milk (cow, pasteurized) - Retail",2012,35
"Milk (cow, pasteurized) - Retail",2012,30
"Milk (cow, pasteurized) - Retail",2012,35
"Milk (cow, pasteurized) - Retail",2012,30
"Milk (cow, pasteurized) - Retail",2012,28
"Milk (cow, pasteurized) - Retail",2013,45
"Milk (cow, pasteurized) - Retail",2013,45
"Milk (cow, pasteurized) - Retail",2013,40
"Milk (cow, pasteurized) - Retail",2013,39
"Milk (cow, pasteurized) - Retail",2013,38
"Milk (cow, pasteurized) - Retail",2013,39
"Milk (cow, pasteurized) - Retail",2013,40
"Milk (cow, pasteurized) - Retail",2013,45
"Milk (cow, pasteurized) - Retail",2013,57
"Milk (cow, pasteurized) - Retail",2013,45
"Milk (cow, pasteurized) - Retail",2013,45
"Milk (cow, pasteurized) - Retail",2013,43
"Milk (cow, pasteurized) - Retail",2014,45
"Milk (cow, pasteurized) - Retail",2014,43.33
"Milk (cow, pasteurized) - Retail",2014,42.5
"Milk (cow, pasteurized) - Retail",2014,45
"Milk (cow, pasteurized) - Retail",2014,45
"Milk (cow, pasteurized) - Retail",2014,43.63
"Milk (cow, pasteurized) - Retail",2014,43
"Milk (cow, pasteurized) - Retail",2014,42
"Milk (cow, pasteurized) - Retail",2014,45.75
"Milk (cow, pasteurized) - Retail",2014,48.85
"Milk (cow, pasteurized) - Retail",2014,45
"Milk (cow, pasteurized) - Retail",2014,43
"Milk (cow, pasteurized) - Retail",2015,43
"Milk (cow, pasteurized) - Retail",2015,43
"Milk (cow, pasteurized) - Retail",2015,45
"Milk (cow, pasteurized) - Retail",2015,45
"Milk (cow, pasteurized) - Retail",2015,45
"Milk (cow, pasteurized) - Retail",2015,45
"Milk (cow, pasteurized) - Retail",2015,50
"Milk (cow, pasteurized) - Retail",2015,55
"Milk (cow, pasteurized) - Retail",2015,50
"Milk (cow, pasteurized) - Retail",2015,50
"Milk (cow, pasteurized) - Retail",2015,50
"Milk (cow, pasteurized) - Retail",2015,50
"Milk (cow, pasteurized) - Retail",2016,48
"Milk (cow, pasteurized) - Retail",2016,45
"Milk (cow, pasteurized) - Retail",2016,48
"Milk (cow, pasteurized) - Retail",2016,50
"Milk (cow, pasteurized) - Retail",2016,50
"Milk (cow, pasteurized) - Retail",2016,52
"Milk (cow, pasteurized) - Retail",2016,53
"Milk (cow, pasteurized) - Retail",2016,48
"Milk (cow, pasteurized) - Retail",2016,48
"Milk (cow, pasteurized) - Retail",2016,48
"Milk (cow, pasteurized) - Retail",2016,49
"Milk (cow, pasteurized) - Retail",2017,49
"Milk (cow, pasteurized) - Retail",2017,50
"Milk (cow, pasteurized) - Retail",2017,55
"Milk (cow, pasteurized) - Retail",2017,50
"Milk (cow, pasteurized) - Retail",2017,50
"Milk (cow, pasteurized) - Retail",2017,48
"Milk (cow, pasteurized) - Retail",2017,48
"Milk (cow, pasteurized) - Retail",2017,48
"Milk (cow, pasteurized) - Retail",2017,48
"Milk (cow, pasteurized) - Retail",2017,47.33
"Milk (cow, pasteurized) - Retail",2017,46.75
"Milk (cow, pasteurized) - Retail",2018,46.33
"Milk (cow, pasteurized) - Retail",2018,46
"Milk (cow, pasteurized) - Retail",2018,45
"Milk (cow, pasteurized) - Retail",2018,45
"Milk (cow, pasteurized) - Retail",2018,45
"Milk (cow, pasteurized) - Retail",2018,44
